Time (min),Wall – Thickness Loss (µm)
0.001016502186943,0
2.13160508599609,-0.010043041606887
5.67004919870587,-0.002008608321377
8.50304079368492,0
9.21459232453722,-0.006025824964132
12.7571024459947,-0.006025824964132
14.88565802543,-0.012051649928264
17.0131971026783,-0.016068866571019
14.8887075319908,-0.018077474892396
12.0536829326379,-0.016068866571019
9.21865833328495,-0.014060258249641
7.09315226041045,-0.014060258249641
5.67818121620132,-0.018077474892396
3.55470814770068,-0.022094691535151
4.2672761807399,-0.03012912482066
7.1012842779059,-0.03012912482066
9.93122636632417,-0.022094691535151
10.6427778971765,-0.028120516499283
12.0628314523203,-0.034146341463415
0.736964085525599,-0.054232424677188
0.737980587712528,-0.056241032998565
0.740013592086399,-0.06025824964132
0.745096103021055,-0.070301291248207
1.4586806382472,-0.080344332855093
7.82401733281445,-0.058249641319943
3.56284016519614,-0.038163558106169
6.39989776892293,-0.044189383070301
4.98594322690073,-0.050215208034433
4.99305874220924,-0.064275466284075
4.99610824877004,-0.070301291248207
8.53861837022753,-0.070301291248207
10.6600584343543,-0.062266857962697
12.0719799720026,-0.052223816355811
14.1954530405033,-0.048206599713056
13.483901509651,-0.042180774748924
17.0284446354823,-0.046197991391679
19.8634692348352,-0.048206599713056
21.9889753077097,-0.048206599713056
23.4069958584797,-0.050215208034433
18.4495146928131,-0.054232424677188
17.7460951794562,-0.064275466284075
20.5851857875569,-0.074318507890961
20.5892517963046,-0.082352941176471
22.7086588560575,-0.070301291248207
18.4576467103085,-0.070301291248207
30.4960821101424,-0.058249641319943
34.0426582403476,-0.066284074605452
34.7430282471436,-0.050215208034433
34.0274107075436,-0.036154949784792
40.4130774458495,-0.054232424677188
48.1984676955605,-0.038163558106169
48.205583210869,-0.052223816355811
45.3756411224508,-0.06025824964132
40.4212094633449,-0.070301291248207
37.5933003793005,-0.082352941176471
31.9283336915293,-0.088378766140603
29.8038441208418,-0.09038737446198
26.9708525258627,-0.092395982783357
22.7249228910484,-0.102439024390244
21.3109683490262,-0.108464849354376
21.314017855587,-0.114490674318508
23.4425734350223,-0.12051649928264
